County,ABDOMINAL HERNIA,ABDOMINAL PAIN,ACQUIRD FOOT DEFORMITY,ACUTE CVD,ACUTE MYOCARDL INFARCT,ACUTE POSTHMRG ANEMIA,ACUTE RENAL FAILURE,ADJUSTMENT DISORDERS,ADMIN/SOCIAL ADMISSION,ADULT RESPIRTRY FAILURE,ALCOHOL-RELATD DISORDER,ALLERGIC REACTION,ANAL/RECTAL COND,ANEMIA,ANEURYSM,ANXIETY DISORDERS,APPENDICITIS,ARM FRACTURE,ARTRL EMBOLISM/THROMB,ASPIRATION PNEUMONITIS,ASTHMA,BACK PROBLEM,BEHAVIOR DISORDERS,BILIARY TRACT DISEASE,BIRTH ASPHYXIA,BIRTH TRAUMA,BLADDER CANCER,BLINDNESS,BONE/CONN TISSU CANCER,BPHYPERPLASIA,BRAIN/NERV SYST CANCER,BREAST CANCER,BRONCHIAL/LUNG CANCER,BRONCHITIS,BURNS,CARDIAC ARREST & VF,CARDIO/CIRC CONG ANMLY,CARDITIS/CARDIOMYOPTHY,CATARACT,CHEMO/RADIATN THERAPY,CHEST PAIN,CHF,CHILDHOOD DISORDERS,CHRONIC RENAL FAILURE,CHRONIC SKIN ULCER,COAG/HEMRRGE DISORDER,COLON CANCER,COMA/BRAIN DAMAGE,CONDUCTION DISORDER,CONTRCPTV/PROCRTV MGT,COPD,CORONARY ATHEROSCLER,CRUSH/INTERNAL INJURY,CYSTIC FIBROSIS,DEVELOPMENTAL DISORDERS,DEVICE/IMPLNT/GRFT COMP,DIABETES W/COMPL,DIABETES W/O COMPL,DIVERTICUL-OSIS/ITIS,DIZZINESS/VERTIGO,DYSRHYTHMIA,ENCEPHALITIS,ENTERITIS/ULCER COLITIS,EPILEPSY/CONVULSIONS,ESOPHAGEAL CANCER,ESOPHGEAL DISORDER,EYE INFECTION,FATIGUE/MALAISE,FLUID/ELECTRLYT DISORDR,GANGRENE,GASTRITIS/DUODENITIS,GASTRODUODENAL ULCER,GASTROENTRTS NONINFCT,GI CONGENITAL ANOMALY,GI HEMORRHAGE,GLAUCOMA,GOUT/CRYSTAL ARTHRPTHY,GU CONGENITAL ANOMALY,HEAD/NECK CANCER,HEADACHE/MIGRAINE,HEART VALVE DISORDER,HEMMORHOIDS,HEPATITIS,HIP FRACTURE,HIV INFECTION,HODGKINS DISEASE,HYPERLIPIDEMIA,HYPERTENSION,HYPERTENSION W/COMPL,IMMUNITY DISORDER,IMMUNIZATION/SCREENING,IMPULSE CNTRL DISORDRS,INFCTV ARTHRITS/OSTEOMY,INFLUENZA,INTESTINAL INFECTION,INTESTINAL OBSTRUCTION,INTRACRANIAL INJURY,JOINT INJURY,KIDNEY/RENAL CANCER,LATE EFFECT CVD,LEG FRACTURE,LEUKEMIAS,LIVEBORN,LIVER/BILE DUCT CANCER,LUNG DISEASE XTRN CAUSE,LUPUS,LYMPHADENITIS,MALE GENITAL CANCER,MALE GENITL INFLAMMTN,MALIGNNT NEOPLASM NOS,MEDICAL EXAM/EVALUATN,MENINGITIS,MISC DISORDERS,MOOD DISORDERS,MOUTH DISORDER,MULTIPLE MYELOMA,MULTIPLE SCLEROSIS,MYCOSES,NAUSEA/VOMITING,NEPHRITIS,NERVS SYS CONG ANOMLY,NON-EPITHELIAL CANCER,NON-HODGKINS LYMPHOMA,NONMALG BREAST DISORD,NONMEDICINAL POISONING,NUTRITIONAL DEFICIENCY,OPEN WOUND EXTREMITIES,OPEN WOUND HEAD/TRUNK,OSTEOARTHRITIS,OSTEOPOROSIS,OTH CONGENTL ANOMALY,OTH CONN TISSUE DISEASE,OTH HERED/DEG CNS COND,OTH MALE GENITL DISORDR,OTH MEDS/DRUG POISONG,OTHER AFTERCARE,OTHER BACTERIAL INFECTN,OTHER BENIGN NEOPLASM,OTHER BLADDR DISEASE,OTHER BONE DISEASE,OTHER CVD,OTHER EAR DISORDER,OTHER EYE DISORDER,OTHER FRACTURE,OTHER GI DISORDER,OTHER GU COND,OTHER HEART DISEASE,OTHER INFECTIONS,OTHER INJURY/COND,OTHER JOINT DISORDER,OTHER KIDNEY DISEASE,OTHER LIVER DISEASE,OTHER NEOPLASM NOS,OTHER NERVE DISORDER,OTHER PERINATAL COND,OTHER PRIMARY CANCER,OTHER SCREENING,OTHER SKIN DISORDER,OTHER URINARY CANCER,OTHR ACQUIRD DEFORMITY,OTHR CIRCULATRY DISEASE,OTHR COGNITIVE DISORDRS,OTHR ENDOCRINE DISORDR,OTHR GI/PERITONL CANCER,OTHR HEMATOLOGIC COND,OTHR INFLAMM SKIN COND,OTHR LOWR RESP DISEASE,OTHR NUTRITION DISORDER,OTHR RESPIRATRY CANCER,OTHR STOMACH DISORDER,OTHR UPPR RESP DISEASE,OTHR UPPR RESP INFECTN,OTHR VEIN/LYMPH DISEASE,OTITIS MEDIA,PANCREAS CANCER,PANCREAS DISORDER,PARALYSIS,PARKINSON'S DISEASE,PATHOLOGICAL FX,PERINATAL JAUNDICE,PERIPH/VSCRL ATHRSCLRS,PERITONITIS,PERSONALITY DISORDERS,PHLEBITIS,PLEURISY,PNEUMONIA,POLIO/OTHER CNS INFECT,POLYHYDRAMNIOS ET AL,PRECEREBRAL OCCLUSION,PROSTATE CANCER,PSYCHOTROPIC POISONING,PULMNRY HEART DISEASE,RECTAL/ANAL CANCER,REHAB/PROSTH FIT/ADJUST,RESP DISTRSS SYNDROME,RETINAL PROBLEMS,RHEUMATOID ARTHRITIS,SCHIZ/OTH PSYCH DISORDR,SCREEN/HIST MH/SA CODES,SECONDARY MALIGNANCY,SEPTICEMIA,SEXUAL INFECTIONS,SHOCK,SHORT GEST/LOW BRTHWT,SICKLE CELL ANEMIA,SKIN MELANOMAS,SKIN/SUBCUT TISS INFECT,SKULL/FACE FRACTURE,SPINAL CORD INJURY,SPRAIN/STRAIN,STOMACH CANCER,SUBSTANCE-RLTD DISORDER,SUICIDE/SELF-INFLCT INJ,SUPERFICL INJRY/CONTUSN,SURGCL/MED CARE COMPL,SYNCOPE,TEETH/JAW DISORDER,TESTICULAR CANCER,THYROID CANCER,THYROID DISORDER,TIA,TONSILLITIS,TUBERCULOSIS,UNCLASSIFIED,UNKNOWN ORIGIN FEVER,URINARY TRACT INFECTION,URINARY TRACT STONE,VARICOSE VEIN,VIRAL INFECTION,WHITE BLOODCELL DISEASE,Grand Total
Albany,196,122,2,649,712,38,269,6,2,264,910,24,48,77,306,13,227,167,31,121,219,818,3,228,7,1,75,7,13,27,69,,156,161,9,18,87,121,,238,277,599,1,26,43,52,66,15,66,,292,597,231,21,7,907,367,26,259,32,615,24,156,384,35,127,20,18,235,89,25,28,54,43,296,10,22,15,57,52,414,26,35,138,36,5,1,44,185,,,,79,73,155,298,462,48,88,26,301,51,2377,42,3,7,15,7,39,8,2,21,17,218,22,13,21,17,9,15,4,10,50,,21,8,63,84,1267,,47,179,71,23,75,17,10,158,27,73,40,3,11,285,199,27,4,52,122,61,46,102,72,242,94,9,3,11,16,58,102,63,40,27,4,8,102,126,6,90,51,136,28,12,52,241,8,22,22,22,294,26,2,117,135,340,19,,164,167,51,165,57,229,14,7,3,156,48,271,1154,3,2,7,88,1,446,118,40,42,42,918,7,41,605,110,28,4,12,16,63,22,2,62,42,177,149,5,65,86,29376
Allegany,,,,4,7,1,19,,,14,6,1,2,,,2,12,,,7,11,2,,8,,,3,,,,,,,4,,,,,,,4,52,,,1,,,,1,,34,6,,,,9,26,,21,,13,1,5,2,1,1,,,14,,,,2,,17,,,,,,,,,6,,,,,,,,,3,4,,11,3,,,,2,1,186,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,4,,,4,,,2,,,,,,3,7,1,,3,,,,1,,1,,,,,,,,,1,,,,1,7,,,,,,1,1,14,,,1,1,1,,,2,2,42,,,,,3,1,,,,,,,,,96,,,,,,29,,,1,,1,,,7,1,,,,,1,1,,,2,4,1,,2,,781
Bronx,353,326,7,1054,877,43,940,59,26,433,3650,126,171,421,112,58,700,307,28,164,3069,710,68,567,,3,108,22,54,226,79,3,395,937,118,32,71,152,3,286,2288,2189,11,54,181,100,220,32,146,,1008,1288,368,2,7,1144,2241,61,434,325,1285,12,140,1399,56,328,61,51,1085,74,271,75,362,45,780,2,192,38,146,147,150,94,257,174,621,10,1,248,957,1,5,64,228,243,444,381,622,59,109,69,475,128,7269,178,11,33,46,5,179,23,6,51,26,1680,49,69,39,33,56,51,17,28,107,13,59,26,240,313,557,,110,563,103,145,867,14,21,178,61,187,24,39,48,285,431,113,12,88,458,111,79,351,83,520,118,16,21,85,2,49,378,272,103,60,8,45,349,385,6,108,119,351,194,45,146,554,13,29,65,125,219,42,20,306,170,1661,22,,63,285,163,203,98,494,2,21,18,2839,461,292,2917,35,2,1,752,22,1854,387,35,50,86,2304,3,187,900,888,56,5,32,55,205,93,38,484,196,685,427,14,263,94,80896
Broome,73,18,2,313,375,28,162,34,12,124,159,9,23,72,70,10,42,29,9,69,79,373,1,95,,,18,2,3,15,21,,53,25,4,9,3,21,,71,73,422,,6,13,12,42,4,21,,200,218,76,,,276,214,4,147,11,280,5,60,50,11,31,3,16,147,17,13,4,26,4,138,,7,,10,12,58,10,16,82,5,,2,19,75,1,,3,41,29,92,138,84,9,21,4,88,14,1408,8,3,,3,,25,5,1,6,4,324,9,8,10,9,6,5,2,2,12,,9,3,11,9,460,,10,55,28,5,40,7,3,32,10,24,7,4,2,78,53,28,1,14,40,12,23,43,9,53,35,2,,2,1,17,35,28,13,5,1,1,24,43,,25,10,23,7,3,14,117,5,6,14,13,88,15,1,49,63,329,6,,103,26,17,74,26,210,6,1,2,218,38,71,670,,1,9,7,,287,11,5,13,9,131,,5,173,33,5,,2,2,66,5,,21,16,130,58,,14,11,12184
Cattaraugus,9,4,,3,153,5,52,,,33,22,2,3,15,2,,12,2,8,11,22,1,,28,,,4,,,13,,1,8,4,,3,,6,,,7,110,,1,,3,11,,3,,101,20,6,,,29,46,,25,1,85,1,8,3,1,10,,1,30,,11,8,10,,44,,1,,,,2,4,,10,,,,,7,,,,3,1,20,36,,,,1,1,,370,,,1,,,2,,,1,,,,,,,1,,,,,,4,1,2,,31,,,3,3,,7,,,8,,,,,,2,16,3,1,1,2,3,2,14,,2,,,,,2,,8,1,7,,,,6,6,,5,1,,3,,2,25,,1,3,,8,4,,7,7,83,,,10,4,7,28,5,,,,,,12,4,234,,1,,,,35,,,,2,5,,,34,8,1,,,4,5,,,,2,4,6,,,5,2162
Cayuga,11,6,,23,17,5,31,1,,28,37,,3,9,1,4,15,8,,16,26,19,,22,,,2,,,,,,6,9,,2,,3,,,11,103,,,2,1,4,,4,,101,5,6,,,5,26,,43,4,47,1,4,6,1,6,,4,28,1,14,1,17,1,22,,1,,1,,,5,1,23,,,,1,16,,,2,2,2,16,38,1,,1,1,17,,218,,1,,,,3,,,1,,126,,,,2,3,,,,1,,2,1,1,1,29,,,14,2,,8,,,1,1,2,2,,,11,11,2,,1,5,,,6,1,12,,2,,,,3,8,6,6,1,,1,3,29,,3,2,2,,1,,27,,1,1,6,3,1,,2,5,143,,,2,1,4,17,2,,,,2,71,3,8,123,,,,,,70,,,1,,31,,5,17,17,2,,,,16,,,6,3,14,7,1,2,1,2050
Chautauqua,15,11,,28,39,14,65,27,,104,147,4,7,30,,6,13,5,,41,34,7,1,38,,,4,,,3,,,14,13,,3,,5,,,31,170,3,2,,3,9,4,9,,103,22,7,,,33,92,2,50,6,111,,10,41,,9,1,6,60,1,8,3,12,1,59,,7,,2,2,3,3,4,63,1,,,3,53,,,113,9,10,25,54,5,6,6,1,17,3,589,1,1,,,,3,3,,2,,476,1,1,1,,2,1,,1,3,,1,1,1,,159,,1,17,1,,12,1,,5,1,6,1,,,10,33,7,,,4,4,4,12,4,18,,,,1,2,,13,6,5,2,1,,9,4,,8,2,3,3,,2,59,2,2,7,10,12,2,1,11,18,198,,,,2,8,26,2,58,,,1,232,13,11,257,1,,,,,97,,,2,8,101,,2,37,20,,,,2,10,,,11,7,48,8,,7,7,4685
Chemung,26,20,1,121,244,5,77,32,1,106,261,2,12,19,11,16,32,10,1,60,26,62,,59,1,,15,1,1,49,8,,27,33,2,1,2,11,1,,77,182,,,9,13,19,7,22,,189,154,7,,5,66,97,1,62,8,190,3,20,43,2,9,,10,63,2,10,2,29,4,88,,9,4,1,10,18,3,3,33,1,,,23,17,,,2,21,11,49,70,30,3,8,2,26,4,724,1,3,1,3,1,14,,,7,2,309,2,,2,5,1,3,,2,6,,4,2,2,3,236,,2,28,9,3,19,4,,6,3,9,2,1,2,23,19,10,2,2,12,4,8,26,11,35,18,,,,3,2,23,15,2,1,,1,18,42,,13,10,5,6,2,2,60,1,,11,3,8,11,3,10,38,303,1,,10,14,15,38,10,341,1,1,2,160,16,23,178,2,3,7,3,,151,3,1,5,3,194,,5,79,41,3,1,1,3,20,9,,33,14,80,44,3,13,6,6818
Chenango,3,3,,8,18,,4,,1,10,1,,,7,,,5,1,,13,5,,,3,,,,,,1,1,,,3,,,,1,,,,38,,,2,,1,,,,36,4,,,,7,16,,6,,26,,2,2,,,,,10,,,,1,,,,,,,,,,,4,,,,,1,,,,3,,4,10,,,,1,5,,157,,,,,,,,,,,,,,,,,,,,1,,,,,,38,,,9,2,,,,,,,5,,,,,4,,,,1,2,1,1,1,1,,,,,,,1,1,1,,,,1,3,,,,,,,,18,,,1,1,,,,2,5,62,,,,1,1,3,,,,,1,,,,45,,,,,,32,,,,,1,,,4,4,,,,,1,,,1,,7,,,,,687
Clinton,13,11,,65,230,3,66,18,,53,42,5,7,19,19,15,14,5,4,45,29,35,55,68,,,6,,2,8,1,,27,16,1,7,,20,,14,48,159,9,2,6,2,14,4,18,,151,117,20,1,,40,81,1,70,6,193,,6,18,,9,4,,52,11,11,3,20,1,45,,1,2,3,2,4,3,3,30,3,,,4,22,,,2,9,5,23,53,1,2,6,1,17,3,442,1,2,1,1,,10,1,,4,1,172,4,4,3,4,3,,,,2,,,,3,1,123,,,19,1,2,14,2,1,7,3,3,,,1,16,20,8,1,2,14,1,4,22,3,17,1,,,,3,1,24,16,4,4,3,1,20,7,,8,3,3,2,3,5,36,,2,3,1,46,1,16,24,27,186,1,,33,9,3,35,3,,,,,76,10,25,228,,1,2,,2,91,3,1,2,2,33,,4,53,31,,,,2,20,,,7,5,39,23,,7,7,4395
